Occupation Code,Occupation Title,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operations Analysis,Operations Monitoring,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
15-1299,Web Administrators,3.27,3.813333333333333,3.5,3.1666666666666665,3.9150000000000005,1.25,1.5200000000000002,1.3533333333333335,2.936666666666667,3.3333333333333335,2.9166666666666665,2.143333333333333,2.1033333333333335,2.9150000000000005,2.605,3.456666666666667,2.7083333333333335,1.5816666666666668,2.5016666666666665,2.4783333333333335,2.813333333333333,2.895,2.5416666666666665,3.9599999999999995,1.2916666666666667,2.06,2.9166666666666665,3.043333333333333,3.5216666666666665,3.438333333333333,3.295,2.23,3.1466666666666665,1.8533333333333335,3.6033333333333335
15-2011,Actuaries,3.25,4.0,4.0,3.0,4.25,1.0,1.0,1.0,2.75,4.25,2.88,2.62,2.0,2.88,4.25,3.12,2.75,1.0,3.0,2.0,2.88,2.12,1.88,4.25,1.0,2.0,3.0,3.0,3.88,3.88,4.0,1.88,3.0,1.0,3.5
15-2021,Mathematicians,4.0,3.38,4.0,2.88,4.12,1.0,1.0,1.0,3.0,3.75,3.25,1.62,1.62,2.0,5.0,3.0,2.0,1.0,2.5,1.38,2.75,2.5,1.5,4.0,1.0,3.62,2.0,2.88,3.25,3.0,3.0,1.62,2.75,1.0,3.62
15-2031,Operations Research Analysts,3.88,4.0,4.12,3.12,4.0,1.0,1.0,1.0,3.0,3.88,3.0,1.88,1.88,2.62,4.5,2.88,2.12,1.12,3.75,1.88,2.88,2.62,1.88,4.0,1.0,3.25,2.75,2.88,4.0,3.88,3.88,1.75,3.12,1.25,4.0
15-2041,Statisticians,3.875,3.88,3.94,2.94,4.0,1.0,1.25,1.0,3.0,3.69,3.25,1.815,1.75,2.5,4.75,3.0,2.0,1.06,2.94,1.75,2.625,3.19,1.875,4.0,1.0,3.75,2.5,2.815,3.94,3.06,3.06,1.62,3.0,1.0,3.815
15-2051,Business Intelligence Analysts,3.75,3.88,3.44,3.19,3.94,1.0,1.44,1.0,3.0,3.435,2.94,1.88,1.815,2.56,3.5,3.37,2.5,1.565,2.315,1.935,2.815,2.875,2.25,3.94,1.0,2.0,2.815,3.0,3.88,3.185,3.12,1.685,3.25,1.31,3.75
15-2099,Bioinformatics Technicians,3.5,3.5,3.5,2.88,3.5,1.12,1.12,1.0,2.88,3.5,2.75,1.62,1.62,2.62,3.38,3.25,2.5,1.12,2.12,2.62,2.75,3.12,2.25,3.75,1.12,3.12,2.5,2.88,3.38,3.25,3.0,2.12,3.0,1.12,3.5
17-1011,Architects — Except Landscape and Naval,3.62,3.88,3.75,3.5,4.0,1.0,1.25,1.0,3.0,3.75,3.25,2.75,2.75,3.0,3.5,3.75,3.12,1.88,4.0,2.25,3.12,1.88,3.12,4.0,1.0,2.88,2.88,3.25,4.0,3.5,3.38,2.0,3.0,1.88,3.88
17-1012,Landscape Architects,3.5,4.12,3.88,3.75,3.88,1.0,1.0,1.0,3.0,3.75,2.88,2.88,2.88,3.0,3.12,3.12,3.12,2.0,3.75,2.0,3.12,1.5,2.5,4.12,1.0,2.75,3.25,3.62,4.12,3.12,3.12,1.75,3.5,1.75,3.62
17-1021,Cartographers and Photogrammetrists,3.25,3.38,3.12,3.0,3.5,1.38,1.5,1.0,2.75,3.12,2.88,1.62,1.62,2.25,2.88,3.12,2.38,1.38,1.62,1.88,2.38,1.88,2.12,4.0,1.25,1.88,2.75,3.0,3.12,2.88,2.75,1.62,3.0,1.75,3.5
17-1022,Surveyors,3.315,3.69,3.435,3.25,3.815,1.88,2.06,1.0,3.0,3.435,3.06,1.75,1.815,2.815,4.0600000000000005,3.19,2.25,2.75,1.88,2.75,2.375,1.88,2.69,3.94,1.88,2.87,2.75,2.875,3.5,3.06,2.935,1.685,3.0,1.88,3.685
17-2011,Aerospace Engineers,3.62,3.88,3.88,3.25,4.12,1.0,1.25,1.0,3.0,3.75,3.38,1.88,1.75,2.75,3.88,3.75,3.0,1.25,3.88,2.88,3.12,2.12,3.25,4.0,1.0,4.0,2.88,3.0,3.88,3.38,3.5,3.25,3.25,2.0,3.88
17-2021,Agricultural Engineers,3.25,4.0,3.88,3.12,3.88,1.88,1.88,1.0,3.0,3.88,2.88,2.25,2.0,3.0,3.75,3.25,2.75,2.62,3.0,3.12,2.88,2.0,2.5,4.0,1.88,3.38,2.75,3.12,4.0,3.75,3.88,2.75,3.0,2.12,4.0
17-2031,Bioengineers and Biomedical Engineers,3.75,4.0,3.88,3.0,3.88,2.12,2.75,2.25,3.12,3.88,3.25,2.12,2.25,3.0,3.88,3.75,2.88,2.0,3.75,2.88,2.75,3.12,3.12,4.0,2.5,3.88,2.88,3.0,4.0,3.62,3.5,3.38,3.12,2.88,4.0
17-2041,Chemical Engineers,3.88,3.25,4.0,3.0,4.12,1.0,1.88,1.0,3.0,3.88,2.88,2.38,2.5,2.75,3.75,3.12,2.88,2.0,3.62,3.0,2.88,2.25,3.0,4.0,1.0,4.12,2.75,3.0,3.5,3.88,3.88,2.88,3.0,2.88,3.12
17-2051,Civil Engineers,3.25,3.8766666666666665,3.8800000000000003,3.2866666666666666,3.9599999999999995,1.1666666666666667,1.3333333333333333,1.0,3.0400000000000005,3.7533333333333334,3.0400000000000005,2.6266666666666665,2.6266666666666665,3.1666666666666665,3.8800000000000003,3.3733333333333335,3.0400000000000005,1.8333333333333333,3.4166666666666665,2.3333333333333335,3.0400000000000005,1.96,2.4966666666666666,3.9599999999999995,1.2066666666666668,3.4166666666666665,3.0,2.9599999999999995,3.8766666666666665,3.793333333333333,3.5833333333333335,2.6266666666666665,3.793333333333333,1.8733333333333333,3.75
17-2061,Computer Hardware Engineers,3.75,3.88,3.88,3.12,4.0,2.12,2.5,1.88,3.0,3.62,2.88,1.75,1.88,2.62,3.25,3.12,2.25,1.75,3.38,3.0,2.62,2.5,2.88,4.0,2.12,2.88,2.62,2.75,3.88,3.38,3.38,2.62,3.12,2.62,3.88
17-2071,Electrical Engineers,3.88,3.88,3.88,3.25,4.0,2.0,2.12,1.0,3.0,3.25,3.0,2.38,2.25,3.0,3.38,3.5,2.75,1.38,3.12,2.88,2.88,2.12,3.0,4.0,2.0,3.0,2.75,3.0,3.88,3.25,3.25,2.25,3.0,2.75,4.12
17-2072,Electronics Engineers — Except Computer,3.12,3.75,3.69,3.06,3.94,2.44,2.69,1.81,3.0,3.565,2.81,1.94,2.315,2.75,3.06,3.25,2.625,2.565,2.935,2.875,2.88,2.625,2.935,3.81,2.375,2.5,2.815,2.94,3.815,3.5,3.13,2.75,2.875,2.69,3.375
17-2081,Environmental Engineers,3.75,4.0,3.88,3.75,4.0,1.0,1.0,1.0,3.0,3.88,3.0,2.25,2.25,2.75,3.38,4.0,3.0,2.0,2.5,2.62,3.0,1.62,2.62,4.0,1.0,3.38,2.88,3.0,4.0,3.25,3.25,1.62,3.25,1.62,4.0
17-2111,Health and Safety Engineers — Except Mining Safety Engineers and Inspectors,3.565,3.815,3.81,3.06,4.0,1.0,1.5,1.0,3.25,3.81,3.185,2.25,2.315,2.87,3.0,3.25,3.0,2.0,2.75,2.75,3.06,1.75,3.0,4.0,1.0,3.06,3.06,3.12,3.81,3.75,3.69,2.44,3.25,2.375,3.815
17-2112,Industrial Engineers,3.4675000000000002,3.94,3.9074999999999998,3.0300000000000002,3.9375,1.5,1.75,1.375,2.9975,3.435,3.0625,2.1875,2.3449999999999998,2.8475,3.4675000000000002,3.66,2.7525,2.1525,3.0,2.9074999999999998,2.875,1.9725,2.7800000000000002,4.03,1.435,3.06,2.875,3.125,3.94,3.3425000000000002,3.435,2.685,3.1550000000000002,2.4375,3.875
17-2121,Marine Engineers and Naval Architects,3.5,3.75,4.12,3.38,4.12,2.62,2.25,1.62,2.88,3.75,2.88,2.5,2.62,3.0,3.62,3.38,2.62,3.0,3.0,3.5,2.75,2.25,3.38,3.88,2.5,3.5,2.88,3.0,3.75,3.38,3.38,2.5,3.5,2.88,3.75
17-2131,Materials Engineers,3.25,4.0,4.0,3.0,3.88,1.5,2.0,1.0,3.12,3.25,3.0,2.12,2.62,3.0,3.75,3.12,3.0,2.25,3.12,3.0,3.0,1.88,3.12,4.0,1.5,4.0,3.12,3.0,3.75,3.12,3.0,2.62,3.0,2.25,3.75
17-2141,Mechanical Engineers,3.5,3.75,3.706666666666667,3.1666666666666665,4.0,1.7466666666666668,2.25,1.54,2.9599999999999995,3.75,2.9599999999999995,2.0833333333333335,2.2933333333333334,2.793333333333333,3.7099999999999995,3.33,2.7466666666666666,2.54,3.4166666666666665,3.0400000000000005,2.8733333333333335,2.5433333333333334,3.08,3.9599999999999995,1.7533333333333332,3.5833333333333335,2.793333333333333,2.92,3.67,3.5833333333333335,3.5833333333333335,3.0400000000000005,3.0833333333333335,2.6266666666666665,3.67
17-2151,Mining and Geological Engineers — Including Mining Safety Engineers,3.5,3.88,4.12,3.5,4.0,1.0,2.25,1.0,3.12,4.0,3.12,2.88,3.0,3.0,3.75,3.75,2.88,2.0,3.12,3.0,2.88,2.62,2.88,4.0,1.0,3.5,2.62,2.88,4.0,3.75,3.75,2.5,3.38,1.88,4.0
17-2161,Nuclear Engineers,3.88,4.0,4.0,3.62,4.12,1.62,1.75,1.0,3.0,4.0,3.0,2.12,2.12,2.75,4.0,4.0,3.0,2.25,3.75,3.62,3.12,1.88,3.25,4.0,1.62,4.12,2.88,2.88,3.75,3.75,3.75,2.88,3.5,3.12,4.0
17-2171,Petroleum Engineers,3.75,3.88,3.88,3.62,4.0,1.12,1.88,1.75,3.0,3.88,3.0,2.5,2.75,2.88,3.25,3.75,2.88,2.12,2.25,2.88,3.0,1.88,2.62,4.0,1.0,3.38,3.0,3.62,3.88,3.88,3.88,2.25,3.62,2.25,3.88
17-2199,Energy Engineers — Except Wind and Solar,3.48375,3.7675,3.755,3.0475,3.96875,1.8900000000000001,2.20375,1.34375,2.98375,3.6275,3.0324999999999998,2.14,2.1725,2.79625,3.58,3.45375,2.7975,2.5475,3.15625,2.9825,2.9225,2.38875,2.96625,3.9225,1.875,3.435,2.7675,2.9987500000000002,3.625,3.45375,3.3137499999999998,2.75,3.125,2.45375,3.76875
17-3011,Architectural and Civil Drafters,3.38,3.25,3.5,3.12,3.38,1.25,1.62,1.25,3.12,3.12,3.0,1.88,1.88,2.62,3.25,3.25,2.75,1.5,2.25,2.38,2.75,2.38,2.5,3.62,1.25,2.5,2.88,3.0,3.12,3.5,2.75,2.25,3.25,2.0,3.38
17-3012,Electrical and Electronics Drafters,3.25,3.62,3.38,3.0,3.5,1.25,1.62,1.25,2.75,3.5,2.62,1.88,1.88,2.5,2.75,3.0,2.5,1.5,2.62,2.25,2.62,2.12,2.88,3.38,1.12,1.88,2.75,2.88,3.25,2.88,2.88,2.25,3.12,2.38,3.5
17-3013,Mechanical Drafters,3.25,3.25,3.12,3.0,3.25,1.0,1.25,1.0,3.0,3.0,2.88,2.0,2.0,2.25,3.25,3.0,2.25,1.5,3.0,2.12,2.38,2.25,2.75,3.25,1.0,1.88,2.38,3.0,3.12,2.88,2.88,2.38,2.88,2.0,3.0
17-3021,Aerospace Engineering and Operations Technologists and Technicians,3.0,3.62,3.5,2.88,3.88,2.88,2.62,2.12,2.75,3.25,2.88,2.12,2.12,2.38,3.0,3.12,2.5,3.0,2.75,3.75,2.62,2.12,3.75,3.75,3.0,3.12,2.62,2.88,3.62,3.0,3.0,2.12,3.12,3.25,3.12
17-3022,Civil Engineering Technologists and Technicians,2.88,3.75,3.12,3.0,3.88,1.0,1.12,1.0,2.38,3.12,2.25,2.12,2.12,2.25,3.62,3.25,2.5,2.12,2.62,2.38,2.5,1.88,2.12,3.75,1.0,2.75,2.75,2.88,3.38,2.88,2.75,1.75,2.88,1.75,3.25
17-3023,Electrical and Electronic Engineering Technologists and Technicians,3.12,3.62,3.38,3.0,3.75,3.0,2.62,2.0,2.62,3.12,2.62,2.12,2.12,2.62,2.75,3.12,2.25,2.5,2.0,3.0,2.5,1.88,2.88,3.88,3.5,1.75,2.88,2.88,3.25,3.12,2.88,2.0,2.88,3.5,3.25
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,3.12,3.435,3.5,3.0,3.75,3.5,3.12,3.12,2.88,3.25,2.94,1.75,1.875,2.625,2.94,3.435,2.19,3.44,2.25,3.875,2.25,2.69,3.62,3.565,3.875,2.75,2.565,2.88,3.185,3.12,3.12,2.435,3.06,3.94,3.185
17-3025,Environmental Engineering Technologists and Technicians,3.75,3.88,3.12,3.0,3.88,2.38,2.5,1.0,2.88,3.25,3.0,2.12,2.38,3.0,3.0,3.38,2.88,2.88,2.75,3.0,2.88,2.12,3.12,3.88,2.38,3.38,2.75,3.0,3.38,3.0,2.88,2.0,3.12,2.75,3.12
17-3026,Industrial Engineering Technologists and Technicians,3.19,3.75,3.685,3.065,3.94,2.625,2.31,1.0,2.94,3.25,2.875,1.815,2.185,2.5,3.25,3.38,2.435,2.435,2.56,3.0,2.63,2.13,3.125,4.0600000000000005,3.0,3.25,2.56,2.815,3.315,3.375,3.125,2.625,3.065,2.625,3.435
17-3027,Mechanical Engineering Technologists and Technicians,3.06,3.5,3.435,3.0,3.625,2.81,2.815,1.88,2.565,3.25,2.565,1.815,2.06,2.5,3.185,3.12,2.565,2.94,2.435,3.375,2.69,2.06,3.25,3.685,2.87,2.81,2.69,3.0,3.56,2.935,3.0,2.19,3.0,2.94,3.375
17-3029,Non-Destructive Testing Specialists,3.25,3.5,3.12,3.0,3.44,2.935,2.685,1.94,2.81,3.06,2.935,1.75,2.0,2.5,2.935,3.315,2.25,3.0,1.815,3.315,2.31,1.81,3.63,3.69,2.5,2.75,2.5,2.875,3.12,3.0,3.0,2.0,3.0,3.06,3.185
17-3031,Surveying and Mapping Technicians,3.0,3.12,3.12,3.0,3.38,1.0,1.25,1.0,2.62,2.88,2.5,1.62,1.88,2.62,3.25,3.12,2.38,2.5,2.0,2.38,2.88,2.25,2.25,3.88,1.12,1.62,2.88,2.88,3.12,2.62,2.62,1.75,2.88,1.75,3.25
19-1011,Animal Scientists,3.88,3.88,4.0,3.12,4.0,1.12,1.12,1.0,3.0,4.0,3.25,2.0,2.25,3.0,3.38,3.75,3.0,1.88,2.75,2.5,3.0,2.0,2.75,4.12,1.0,4.0,3.0,3.12,3.88,3.75,3.25,1.88,3.25,1.88,4.0
19-1012,Food Scientists and Technologists,4.0,3.88,3.88,3.12,4.0,1.0,1.88,1.0,3.0,3.88,3.0,1.88,2.0,2.62,3.12,3.62,3.12,2.25,2.62,2.88,3.12,1.5,3.38,4.0,1.0,3.88,3.0,3.25,3.88,3.62,3.62,1.88,3.12,2.0,3.88
19-1013,Soil and Plant Scientists,4.0,3.88,3.88,3.0,4.0,1.0,1.0,1.0,3.12,3.75,3.25,2.0,2.0,2.75,3.25,3.25,2.75,2.25,3.0,2.75,2.88,2.12,3.0,4.0,1.0,4.0,2.88,3.0,4.0,3.5,3.5,1.75,2.88,1.75,3.88
19-1021,Biochemists and Biophysicists,4.12,4.12,4.12,3.0,4.25,1.88,2.25,1.12,3.62,4.0,4.0,1.88,2.0,3.0,3.88,3.88,2.5,2.12,3.12,2.75,3.0,2.25,3.0,4.38,1.75,4.75,2.5,3.0,4.12,3.38,3.12,2.12,2.88,1.88,4.25
19-1022,Microbiologists,3.88,3.88,3.62,3.0,4.0,1.0,1.75,1.0,3.0,3.75,3.62,2.25,2.12,3.0,3.12,3.62,2.62,2.5,2.88,2.75,2.62,1.88,2.88,4.12,1.0,4.62,3.0,3.0,3.88,3.0,2.88,1.88,3.0,2.0,4.0
19-1023,Zoologists and Wildlife Biologists,3.62,4.0,4.0,3.75,4.0,1.0,1.0,1.0,3.0,4.0,3.0,2.25,2.25,3.0,3.0,3.38,3.12,2.0,2.0,2.75,3.12,1.88,2.12,4.0,1.0,3.88,3.0,3.25,4.0,3.25,3.0,2.0,3.38,1.62,3.88
19-1029,Bioinformatics Scientists,3.8449999999999998,4.0,3.9375,3.06,4.0600000000000005,1.0,1.375,1.0,3.375,3.8425000000000002,3.4699999999999998,2.1550000000000002,2.25,3.0,3.7525,3.4699999999999998,2.8125,1.875,2.31,2.44,2.9675000000000002,2.2800000000000002,2.5300000000000002,4.2175,1.0,4.3100000000000005,2.7800000000000002,3.25,4.0,3.2175000000000002,3.0625,1.9375,3.125,1.905,4.0625
19-1031,Conservation Scientists,3.25,3.92,3.453333333333333,3.2466666666666666,3.6233333333333335,1.2933333333333332,1.3366666666666667,1.04,3.043333333333333,3.3733333333333335,2.9599999999999995,2.0433333333333334,2.25,2.92,2.6266666666666665,3.33,2.956666666666667,2.29,2.6266666666666665,2.5033333333333334,3.0,1.6266666666666667,2.1233333333333335,3.8800000000000003,1.2066666666666668,2.92,3.206666666666667,3.3733333333333335,3.83,3.0400000000000005,2.9966666666666666,1.71,3.0833333333333335,1.8766666666666667,3.5
19-1032,Foresters,3.12,4.0,3.88,3.5,3.88,1.62,2.12,1.0,3.0,3.75,2.88,2.88,3.12,3.12,2.88,3.75,3.25,2.88,2.88,3.0,3.12,1.5,2.5,3.88,1.62,2.75,3.0,3.25,3.88,3.62,3.62,2.12,3.5,2.0,3.75
19-1041,Epidemiologists,4.0,4.12,4.25,3.75,4.25,1.0,1.12,1.0,3.25,4.25,3.5,2.12,2.0,3.12,3.75,3.62,2.88,1.0,3.0,1.5,3.12,1.62,1.5,4.25,1.0,4.12,3.25,3.88,4.12,4.0,4.0,1.38,3.25,1.0,4.12
19-1042,Medical Scientists — Except Epidemiologists,4.12,4.0,3.88,3.0,4.0,1.0,1.62,1.0,3.25,4.0,3.38,1.75,1.88,2.88,3.62,3.62,2.88,1.88,2.88,2.75,2.88,2.0,2.25,4.0,1.0,4.12,3.12,3.0,4.12,3.75,3.25,1.75,3.12,1.75,4.25
19-2011,Astronomers,4.0,4.0,3.5,3.12,4.12,1.38,1.62,1.0,3.0,3.62,3.75,2.5,2.0,3.0,4.12,3.38,2.62,1.75,2.62,2.0,3.0,2.25,1.75,4.25,1.12,4.25,2.88,3.12,4.0,3.0,3.0,2.0,2.88,1.38,4.12
19-2012,Physicists,4.0,4.0,3.88,3.0,4.12,1.0,1.88,1.12,3.62,3.75,3.88,2.25,2.12,3.0,4.25,3.25,2.75,1.62,3.12,2.38,3.12,3.38,2.62,4.25,1.0,4.62,3.0,3.25,4.12,3.38,3.38,2.75,3.12,2.0,4.0
19-2021,Atmospheric and Space Scientists,4.0,4.0,3.88,3.0,4.0,1.0,1.0,1.0,3.0,3.75,3.12,1.75,1.75,2.88,3.38,3.12,2.5,1.12,2.62,2.0,2.88,2.0,1.62,4.12,1.0,4.0,2.88,3.12,4.0,3.12,2.88,1.75,3.0,1.0,3.88
19-2031,Chemists,3.62,3.75,3.62,3.0,4.0,2.75,2.5,1.0,3.0,3.25,3.0,1.88,2.25,2.75,3.75,3.5,2.12,2.25,2.5,3.0,2.5,2.12,3.25,4.0,2.12,4.12,2.5,3.0,3.88,3.12,3.12,1.62,3.0,2.88,3.75
19-2032,Materials Scientists,3.75,4.0,4.0,3.0,4.0,1.38,1.38,1.0,2.88,3.62,3.0,2.12,2.12,2.5,3.5,3.12,2.62,2.0,3.12,2.75,3.12,1.88,2.88,4.0,1.38,4.0,2.75,3.0,3.75,3.0,3.12,1.88,3.0,2.0,3.88
19-2041,Environmental Scientists and Specialists — Including Health,3.6550000000000002,3.9699999999999998,3.8449999999999998,3.2175000000000002,3.94,1.0,1.095,1.03,3.0300000000000002,3.5,3.0625,2.185,2.185,2.9375,3.2199999999999998,3.4025,2.935,1.53,2.5,2.2199999999999998,3.0300000000000002,2.0324999999999998,2.06,4.0625,1.0,3.435,2.9675000000000002,3.185,3.94,3.4675000000000002,3.375,1.91,3.1574999999999998,1.405,3.94
19-2042,Geoscientists — Except Hydrologists and Geographers,3.25,3.88,3.88,3.12,4.0,1.0,1.75,1.0,3.0,3.88,3.12,1.75,1.62,2.62,3.38,3.12,2.62,2.0,2.62,2.0,2.88,2.0,2.0,4.12,1.0,4.0,2.62,3.0,4.0,3.25,3.25,1.62,2.88,1.5,3.88
19-2043,Hydrologists,3.62,3.88,3.75,3.12,4.0,2.12,1.88,2.0,3.0,3.5,3.0,1.75,2.0,2.75,3.75,3.5,2.88,1.88,2.38,2.62,3.0,2.12,2.75,3.88,1.88,3.88,2.88,3.0,3.75,3.38,3.0,1.62,2.88,2.0,3.62
19-2099,Remote Sensing Scientists and Technologists,3.38,3.88,3.75,3.0,4.0,1.0,1.5,1.0,3.0,3.75,3.12,1.75,1.88,2.88,3.75,3.38,2.5,2.0,3.25,2.5,2.62,2.88,2.38,4.0,1.0,3.88,2.88,2.88,3.88,3.62,3.62,2.38,2.88,1.5,3.88
19-3011,Economists,3.815,4.0,3.685,3.0,4.0600000000000005,1.0,1.0,1.0,3.25,3.81,3.185,2.37,1.87,2.56,4.0600000000000005,3.31,2.375,1.0,2.31,1.25,3.0,2.0,1.565,4.0600000000000005,1.0,2.13,2.875,3.0,3.75,3.25,3.185,1.565,3.0,1.0,4.0600000000000005
19-3022,Survey Researchers,3.88,4.25,3.88,3.38,4.25,1.0,1.0,1.0,3.0,3.75,3.25,1.88,2.0,3.0,4.0,3.12,2.88,1.0,2.62,1.75,3.0,2.75,2.25,4.25,1.0,2.88,3.12,3.12,4.25,3.25,3.25,1.88,3.12,1.0,4.25
19-3032,Industrial-Organizational Psychologists,3.88,4.38,4.0,3.75,4.12,1.0,1.0,1.0,3.62,4.12,3.62,2.12,2.12,3.38,3.5,3.88,3.25,1.0,3.5,2.0,3.75,2.75,2.0,4.38,1.0,3.75,3.38,3.88,4.12,3.88,4.0,1.88,3.62,1.0,4.25
19-3033,Clinical and Counseling Psychologists,3.88,4.25,3.75,3.5,4.25,1.0,1.0,1.0,3.25,3.75,3.62,1.5,1.5,2.75,2.25,3.75,3.12,1.0,1.62,1.75,3.5,1.62,1.0,4.75,1.0,2.38,3.75,4.38,4.12,3.0,3.0,1.62,3.25,1.0,4.25
19-3034,School Psychologists,3.62,4.38,3.75,3.62,4.0,1.0,1.0,1.0,3.25,3.88,3.5,1.0,1.0,2.75,2.75,4.0,3.38,1.0,1.75,1.75,3.5,1.75,1.38,4.25,1.0,2.0,3.75,4.0,4.25,3.12,3.12,1.62,3.38,1.0,4.0
19-3039,Neuropsychologists,3.815,4.4399999999999995,4.0600000000000005,3.375,4.25,1.0,1.0,1.0,3.38,4.1850000000000005,3.5,1.875,1.815,2.815,2.81,3.62,3.0,1.06,1.69,1.94,3.315,1.815,1.815,4.3100000000000005,1.0,3.12,3.685,4.12,4.125,3.185,3.0,1.685,3.25,1.375,4.13
19-3041,Sociologists,4.0,4.12,3.62,3.12,4.0,1.0,1.0,1.0,3.62,3.62,3.88,1.62,1.75,2.88,2.88,3.5,2.75,1.0,2.38,1.38,2.88,1.75,1.12,4.0,1.0,3.12,3.0,3.88,4.12,3.12,3.12,1.62,3.0,1.0,4.0
19-3051,Urban and Regional Planners,3.25,4.12,3.75,3.25,4.0,1.0,1.0,1.0,3.0,4.12,3.0,2.5,2.25,3.0,3.0,3.0,3.38,1.38,3.12,1.75,3.12,1.75,1.62,4.0,1.0,2.62,3.25,3.62,4.12,4.0,3.75,1.62,3.25,1.0,3.88
19-3091,Anthropologists and Archeologists,3.88,4.12,3.75,3.12,4.12,1.0,1.12,1.0,3.25,3.25,3.38,1.88,2.0,3.0,2.75,3.5,2.62,1.5,1.5,1.75,2.88,1.5,1.62,4.12,1.0,3.0,2.75,3.12,4.25,3.0,2.88,1.5,3.0,1.0,4.25
19-3092,Geographers,3.62,3.75,3.5,3.0,4.0,1.12,1.0,1.0,3.12,3.62,3.12,1.62,1.75,2.5,3.0,3.0,2.75,1.12,2.5,1.62,2.62,1.88,1.38,4.12,1.0,3.38,3.0,3.0,4.0,3.38,3.12,1.75,3.0,1.0,4.12
19-3093,Historians,4.0,4.0,3.38,3.0,4.12,1.0,1.0,1.0,3.12,3.12,3.25,1.62,1.75,2.5,2.0,3.0,2.5,1.0,2.0,1.38,2.75,1.38,1.62,4.75,1.0,2.62,2.38,3.12,4.0,2.25,2.25,1.5,2.88,1.0,4.12
19-3094,Political Scientists,4.12,4.12,3.62,3.0,4.0,1.0,1.0,1.0,3.5,3.62,3.5,1.62,1.62,2.12,3.0,2.88,2.75,1.0,2.5,1.38,2.88,1.5,1.38,4.25,1.0,2.62,3.0,3.75,4.12,3.0,3.12,1.5,2.88,1.0,4.0
19-3099,Transportation Planners,3.75,4.0,4.0,3.62,4.0,1.0,1.12,1.0,2.88,3.88,3.0,2.12,2.38,2.75,3.38,3.12,3.0,1.62,3.25,1.88,3.0,2.25,1.5,4.0,1.0,2.38,3.0,3.0,4.0,3.5,3.75,1.62,3.25,1.0,4.0
19-4012,Agricultural Technicians,3.25,3.5,3.13,3.0,3.5,2.25,2.06,1.44,2.875,3.185,2.94,1.815,1.94,2.5,3.065,3.185,2.56,2.815,2.065,2.94,2.625,1.88,2.31,3.63,2.25,2.815,2.685,2.815,3.375,2.87,2.81,1.56,3.0,2.37,3.31
19-4013,Food Science Technicians,3.0,3.5,3.12,3.12,3.25,2.0,1.62,1.0,3.0,3.0,2.88,1.5,2.0,2.62,2.75,3.12,2.0,2.12,1.38,2.75,2.0,1.38,3.12,3.75,1.75,3.25,2.25,2.88,3.5,2.25,2.38,1.38,3.0,2.12,3.5
19-4021,Biological Technicians,3.5,3.75,3.25,2.75,3.88,2.12,1.88,1.0,2.38,3.12,2.88,1.88,2.25,2.12,3.0,3.25,1.88,2.62,1.88,3.0,2.0,1.88,2.88,4.0,1.75,3.75,2.25,2.75,3.25,3.0,2.75,1.88,2.88,2.62,3.38
19-4031,Chemical Technicians,3.38,3.88,3.12,3.0,4.0,2.88,2.75,1.0,3.0,3.12,3.12,1.75,2.25,2.5,3.0,3.88,2.62,3.0,2.5,3.25,2.62,1.5,3.12,4.0,2.75,4.12,2.75,2.88,3.38,3.0,3.12,2.0,3.12,2.88,3.88
19-4042,Environmental Science and Protection Technicians — Including Health,3.12,3.88,3.25,3.0,3.75,1.88,1.75,1.0,2.88,3.25,3.0,1.88,2.0,2.38,3.12,3.38,2.75,2.88,2.62,3.0,2.88,1.88,2.75,4.0,1.75,3.38,3.0,3.0,3.88,3.12,3.0,1.5,3.0,2.0,3.88
19-4043,Geological Technicians — Except Hydrologic Technicians,2.75,3.12,3.12,3.0,3.5,1.88,2.25,1.0,2.62,3.12,2.62,1.75,2.12,2.5,2.75,3.25,2.38,2.75,1.5,3.0,2.62,1.62,2.25,3.75,2.0,2.62,2.5,2.88,3.0,2.62,2.5,2.0,3.25,2.12,3.25
19-4051,Nuclear Technicians,3.19,3.75,3.185,3.06,3.75,2.5,2.06,1.19,3.125,3.315,3.0,1.875,1.94,2.565,2.935,3.815,2.685,3.0,1.435,3.815,2.88,1.81,3.31,3.685,2.25,2.935,2.815,3.0,3.375,2.875,2.75,1.75,3.0,3.0,3.185
19-4061,Social Science Research Assistants,3.12,3.75,3.38,2.88,3.75,1.0,1.38,1.0,2.62,3.12,3.0,1.75,2.0,2.38,3.12,2.88,2.38,1.62,2.0,2.12,2.5,2.62,2.5,4.0,1.0,3.25,2.38,2.88,3.38,3.0,2.88,1.75,2.88,1.75,3.75
